[21-Apr-2014 14:38:06 Europe/Moscow] PHP Parse error:  syntax error, unexpected $end in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\page_equipment_add.php(37) : eval()'d code on line 1
[21-Apr-2014 14:41:15 Europe/Moscow] PHP Parse error:  syntax error, unexpected $end in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\page_equipment_add.php(37) : eval()'d code on line 1
[21-Apr-2014 14:42:43 Europe/Moscow] PHP Fatal error:  Call to undefined function frmAddKontroller() in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\page_equipment_add.php(37) : eval()'d code on line 1
[22-Apr-2014 10:08:52 Europe/Moscow] PHP Fatal error:  Call to undefined function undefinedundefined() in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\page_equipment_add.php(9) : eval()'d code on line 1
[22-Apr-2014 10:09:08 Europe/Moscow] PHP Fatal error:  Call to undefined function undefinedundefined() in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\page_equipment_add.php(9) : eval()'d code on line 1
[23-Apr-2014 13:18:39 Europe/Moscow] PHP Parse error:  syntax error, unexpected '}' in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\forms_api.php on line 92
[23-Apr-2014 13:18:53 Europe/Moscow] PHP Parse error:  syntax error, unexpected '}' in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\forms_api.php on line 92
[28-Apr-2014 11:08:57 Europe/Moscow] PHP Fatal error:  Non-abstract method MForm::f_init() must contain body in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\cop_forms_api.php on line 136
[28-Apr-2014 15:14:57 Europe/Moscow] PHP Fatal error:  Class 'MForm_undefined' not found in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\cop_forms_api.php(31) : eval()'d code on line 2
[28-Apr-2014 15:15:13 Europe/Moscow] PHP Fatal error:  Class 'MForm_undefined' not found in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\cop_forms_api.php(31) : eval()'d code on line 2
[28-Apr-2014 15:18:51 Europe/Moscow] PHP Fatal error:  Class 'MForm_undefined' not found in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\cop_forms_api.php(31) : eval()'d code on line 2
[28-Apr-2014 15:23:18 Europe/Moscow] PHP Fatal error:  Class 'MForm_t_equipment_type_pult' not found in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\cop_forms_api.php(31) : eval()'d code on line 2
[28-Apr-2014 15:23:28 Europe/Moscow] PHP Fatal error:  Class 'MForm_t_equipment_type_multipleksor' not found in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\cop_forms_api.php(31) : eval()'d code on line 2
[28-Apr-2014 15:29:13 Europe/Moscow] PHP Fatal error:  Class 'MForm_t_equipment_type_multipleksor' not found in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\cop_forms_api.php(31) : eval()'d code on line 2
[28-Apr-2014 15:30:42 Europe/Moscow] PHP Fatal error:  Cannot redeclare class MForm_t_equipment_type_pult in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\cop_forms_api.php on line 407
[28-Apr-2014 15:30:48 Europe/Moscow] PHP Fatal error:  Cannot redeclare class MForm_t_equipment_type_pult in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\cop_forms_api.php on line 407
[28-Apr-2014 15:30:50 Europe/Moscow] PHP Fatal error:  Cannot redeclare class MForm_t_equipment_type_pult in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\cop_forms_api.php on line 407
[28-Apr-2014 15:32:49 Europe/Moscow] PHP Fatal error:  Class 'MForm_' not found in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\cop_forms_api.php(31) : eval()'d code on line 2
[29-Apr-2014 15:37:51 Europe/Moscow] PHP Fatal error:  Call to undefined function f_show_root_insert() in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\cop_forms_api.php on line 299
[29-Apr-2014 15:39:11 Europe/Moscow] PHP Fatal error:  Call to undefined function f_show_root_insert() in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\cop_forms_api.php on line 299
[29-Apr-2014 15:40:48 Europe/Moscow] PHP Fatal error:  Call to undefined function f_show_root_insert() in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\cop_forms_api.php on line 375
